office_name,office_code,office_city,office_state,report_begin_date,report_end_date,published_date,commodity,slug_id,slug_name,report_title,final_ind,report_date,region,community,section,type,condition,quality_grade,package_size,price_unit,environment,price_avg,price_min,price_max,store_count
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Midwest,Poultry,Shell Egg,Extra Large White,Fresh,A,12,Per Carton,Nutritionally Enhanced (Omega-3),2.51,2.51,2.51,56
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Large Brown,Fresh,,18,Per Carton,Cage-Free,4.99,4.99,4.99,17
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Egg Products,Egg Nog,Fresh,,64 oz,Per Carton,Cage-Free,6.49,6.49,6.49,59
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northeast,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,Cage-Free,3,3,3,42
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Southcentral,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,Cage-Free,2.5,2.5,2.5,6
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Large Brown,Fresh,,12,Per Carton,USDA Organic,5.6,4.99,6.49,37
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northwest,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,USDA Organic,6.49,6.49,6.49,15
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Midwest,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,Cage-Free,2.5,2.5,2.5,39
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northwest,Poultry,Egg Products,Egg Nog,Fresh,Ungraded/Other,64 oz,Per Carton,Cage-Free,6.49,6.49,6.49,59
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northeast,Poultry,Egg Products,Egg Nog,Fresh,Ungraded/Other,32 oz,Per Carton,USDA Organic,5.99,5.99,5.99,19
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northwest,Poultry,Egg Products,Egg Nog,Fresh,Ungraded/Other,32 oz,Per Carton,USDA Organic,5.99,5.99,5.99,21
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Southcentral,Poultry,Shell Egg,Large Brown,Fresh,A,18,Per Carton,Free Range,7.99,7.99,7.99,30
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northeast,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,Pasture Raised,5.37,3.99,5.39,190
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Southeast,Poultry,Shell Egg,Extra Large White,Fresh,A,12,Per Carton,Nutritionally Enhanced (Omega-3),2.51,2.51,2.51,28
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Large Brown,Fresh,,12,Per Carton,Cage-Free,2.99,2.5,3.99,346
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Southcentral,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,Pasture Raised,3.99,3.99,3.99,6
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northwest,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,Pasture Raised,7.99,7.99,7.99,15
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Large Brown,Fresh,,12,Per Carton,Free Range,4.95,4.49,4.99,381
